ticker,title,content,published_date,source,sentiment_score
WFC,"Wells Fargo Reports Q1 Revenue of $43.2B, Beating Expectations","Wells Fargo announced Q1 2020 revenue of $43.2 billion, surpassing analyst estimates. The company reported earnings per share of $3.33, above consensus. Management raised full-year guidance citing strong demand.",2020-01-01,Benzinga,0.6
BRK-B,Berkshire Hathaway Cuts Workforce by 13%,Berkshire Hathaway announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2020-01-01,Forbes,-0.35
CVX,Oppenheimer Lowers Chevron Price Target to $386,"Oppenheimer analyst lowers Chevron (CVX) price target to $386, citing macroeconomic uncertainty. The firm maintains a Sell rating on the stock.",2020-01-01,Financial Times,-0.57
SHOP,Bank of America Raises Shopify Price Target to $82,"Bank of America analyst raises Shopify (SHOP) price target to $82, citing market share gains. The firm maintains a Outperform rating on the stock.",2020-01-02,Wall Street Journal,0.29
PLTR,Palantir Cuts Workforce by 11%,Palantir announced layoffs affecting thousands of employees as part of a cost reduction program. The company cited the need to adapt to changing market conditions.,2020-01-02,TheStreet,-0.21
WFC,Wells Fargo Shares Gain 5.5% on Fed Signals Rate Pause,Wells Fargo (WFC) shares gained 5.5% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-02,The Motley Fool,0.69
PYPL,"PayPal Reports Q1 Revenue of $76.0B, Beating Expectations","PayPal announced Q1 2020 revenue of $76.0 billion, surpassing analyst estimates. The company reported earnings per share of $4.42, above consensus. Management raised full-year guidance citing strong demand.",2020-01-03,Bloomberg,0.74
UBER,"Uber Reports Q1 Revenue of $30.7B, Beating Expectations","Uber announced Q1 2020 revenue of $30.7 billion, surpassing analyst estimates. The company reported earnings per share of $5.05, above consensus. Management raised full-year guidance citing strong demand.",2020-01-03,Reuters,0.72
JNJ,"Johnson & Johnson Q1 Earnings Miss Estimates, Revenue Falls Short","Johnson & Johnson reported Q1 2020 revenue of $119.7 billion, missing analyst expectations. Earnings per share came in at $14.39, below consensus. Management cited macroeconomic headwinds and cautious consumer spending.",2020-01-03,Investor's Business Daily,-0.47
MSFT,"Microsoft Reports Q1 Revenue of $15.2B, Beating Expectations","Microsoft announced Q1 2020 revenue of $15.2 billion, surpassing analyst estimates. The company reported earnings per share of $2.1, above consensus. Management raised full-year guidance citing strong demand.",2020-01-06,CNBC,0.57
GOOGL,Credit Suisse Raises Alphabet Price Target to $296,"Credit Suisse analyst raises Alphabet (GOOGL) price target to $296, citing improving fundamentals. The firm maintains a Buy rating on the stock.",2020-01-06,TipRanks,0.45
GOOGL,"Alphabet Reports Q1 Revenue of $58.5B, Beating Expectations","Alphabet announced Q1 2020 revenue of $58.5 billion, surpassing analyst estimates. The company reported earnings per share of $12.05, above consensus. Management raised full-year guidance citing strong demand.",2020-01-06,TechCrunch,0.41
NFLX,Netflix Faces Investigation by EU Commission,"The EU Commission opened an investigation into Netflix's business practices, focusing on potential regulatory violations. Netflix said it would cooperate fully with the inquiry.",2020-01-06,BBC Business,-0.64
PYPL,PayPal Board Approves New Strategic Plan,"PayPal's board of directors approved a three-year strategic plan focusing on core business growth, margin improvement, and capital returns to shareholders.",2020-01-06,The Motley Fool,0.2
SQ,"Block Launches Security Product, Shares Rise","Block unveiled its new security product at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Block's strategic growth priorities.",2020-01-06,Yahoo Finance,0.32
BAC,Barclays Increases Bank of America Price Target to $156,"Barclays analyst increases Bank of America (BAC) price target to $156, citing AI tailwinds. The firm maintains a Outperform rating on the stock.",2020-01-06,Seeking Alpha,0.49
AXP,American Express Receives Regulatory Approval for expansion,"American Express received regulatory approval, clearing a key hurdle for growth. The approval was widely expected but removes a source of uncertainty for investors.",2020-01-06,Barron's,0.25
UNH,UnitedHealth Shares Gain 2.6% on Consumer Spending Surges,UnitedHealth (UNH) shares gained 2.6% following consumer spending surges. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-06,Investor's Business Daily,0.63
ABBV,AbbVie Faces Challenges from Drug Pricing Reform,AbbVie (ABBV) faces headwinds from drug pricing reform. Industry analysts note that the company needs to adapt its strategy to navigate the changing competitive dynamics.,2020-01-06,Wall Street Journal,-0.17
ABBV,"AbbVie Q1 Earnings Miss Estimates, Revenue Falls Short","AbbVie reported Q1 2020 revenue of $113.9 billion, missing analyst expectations. Earnings per share came in at $6.58, below consensus. Management cited macroeconomic headwinds and cautious consumer spending.",2020-01-06,Investor's Business Daily,-0.63
MRK,"Merck Launches Diagnostic Tool, Shares Jump","Merck unveiled its new diagnostic tool at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with Merck's strategic growth priorities.",2020-01-06,Benzinga,0.55
SLB,SLB Faces Investigation by EU Commission,"The EU Commission opened an investigation into SLB's business practices, focusing on potential regulatory violations. SLB said it would cooperate fully with the inquiry.",2020-01-06,AP News,-0.5
HD,KeyBanc Boosts Home Depot Price Target to $408,"KeyBanc analyst boosts Home Depot (HD) price target to $408, citing margin expansion. The firm maintains a Buy rating on the stock.",2020-01-06,TechCrunch,0.29
MCD,Credit Suisse Boosts McDonald's Price Target to $417,"Credit Suisse analyst boosts McDonald's (MCD) price target to $417, citing improving fundamentals. The firm maintains a Outperform rating on the stock.",2020-01-06,Bloomberg,0.67
NFLX,Netflix Shares Rally 1.5% on Market Breadth Improves,Netflix (NFLX) shares rallyed 1.5% following market breadth improves. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-07,Reuters,0.26
ABNB,"Airbnb Reports Q1 Revenue of $109.9B, Beating Expectations","Airbnb announced Q1 2020 revenue of $109.9 billion, surpassing analyst estimates. The company reported earnings per share of $14.44, above consensus. Management raised full-year guidance citing strong demand.",2020-01-07,Seeking Alpha,0.49
JPM,"JPMorgan Launches Lending Platform, Shares Jump","JPMorgan unveiled its new lending platform at a launch event. Early reception has been positive, with analysts noting strong market potential. The initiative aligns with JPMorgan's strategic growth priorities.",2020-01-07,Business Insider,0.59
XOM,ExxonMobil Shares Surge 1.0% on Consumer Spending Surges,ExxonMobil (XOM) shares surgeed 1.0% following consumer spending surges. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-07,Financial Times,0.29
LMT,Lockheed Martin Shares Gain 2.0% on Strong Jobs Data,Lockheed Martin (LMT) shares gained 2.0% following strong jobs data. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-07,Investor's Business Daily,0.41
CRM,Deutsche Bank Boosts Salesforce Price Target to $475,"Deutsche Bank analyst boosts Salesforce (CRM) price target to $475, citing AI tailwinds. The firm maintains a Overweight rating on the stock.",2020-01-08,Investor's Business Daily,0.62
ABNB,"Airbnb Raises Dividend by 5%, Announces $33B Buyback",Airbnb increased its quarterly dividend by 5% and authorized a $33 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-08,Barron's,0.42
C,Citigroup Reaches $1891M Settlement with CFPB,Citigroup agreed to pay $1891 million to settle regulatory charges brought by the CFPB. The company neither admitted nor denied the allegations.,2020-01-08,Benzinga,-0.16
ABBV,AbbVie Shares Rally 3.7% on M&A Activity Picks Up,AbbVie (ABBV) shares rallyed 3.7% following M&A activity picks up. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-08,TheStreet,0.67
WMT,KeyBanc Cuts Walmart Price Target to $186,"KeyBanc analyst cuts Walmart (WMT) price target to $186, citing competitive pressures. The firm maintains a Underweight rating on the stock.",2020-01-08,Wall Street Journal,-0.54
CAT,Caterpillar Shares Surge 3.1% on Fed Signals Rate Pause,Caterpillar (CAT) shares surgeed 3.1% following Fed signals rate pause. Trading volume exceeded the 30-day average. Analysts see continued momentum for the stock.,2020-01-08,MarketWatch,0.6
NFLX,"Netflix Raises Dividend by 10%, Announces $25B Buyback",Netflix increased its quarterly dividend by 10% and authorized a $25 billion share repurchase program. The move reflects management's confidence in cash flow generation and commitment to shareholder returns.,2020-01-09,BBC Business,0.44
PLTR,"Palantir Reports Q1 Revenue of $67.9B, Beating Expectations","Palantir announced Q1 2020 revenue of $67.9 billion, surpassing analyst estimates. The company reported earnings per share of $4.71, above consensus. Management raised full-year guidance citing strong demand.",2020-01-09,Wall Street Journal,0.6
MRNA,"Moderna Reports Q1 Revenue of $81.4B, Beating Expectations","Moderna announced Q1 2020 revenue of $81.4 billion, surpassing analyst estimates. The company reported earnings per share of $12.06, above consensus. Management raised full-year guidance citing strong demand.",2020-01-09,Yahoo Finance,0.69
COP,Piper Sandler Increases ConocoPhillips Price Target to $320,"Piper Sandler analyst increases ConocoPhillips (COP) price target to $320, citing margin expansion. The firm maintains a Outperform rating on the stock.",2020-01-09,Reuters,0.3
